id,name,label,wiki_url
22,Đại học Complutense Madrid,University,https://vi.wikipedia.org/wiki/Complutense_University_of_Madrid
23,Đại học Cornell,University,https://vi.wikipedia.org/wiki/Cornell_University
26,Đại học Duke,University,https://vi.wikipedia.org/wiki/Duke_University
30,Đại học Georgetown,University,https://vi.wikipedia.org/wiki/Georgetown_University
35,Cử nhân Nghệ thuật,University,https://vi.wikipedia.org/wiki/C%E1%BB%AD_nh%C3%A2n_Ngh%E1%BB%87_thu%E1%BA%ADt
48,Học viện Hành chính và Quản trị công,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_H%C3%A0nh_ch%C3%ADnh_Qu%E1%BB%91c_gia
53,Eton College,University,https://vi.wikipedia.org/wiki/Eton_College
55,Học viện Hải quân Đại Liên,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_H%E1%BA%A3i_qu%C3%A2n_%C4%90%E1%BA%A1i_Li%C3%AAn
56,Học viện Hải quân Đế quốc Nhật Bản,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_H%E1%BA%A3i_qu%C3%A2n_%C4%90%E1%BA%BF_qu%E1%BB%91c_Nh%E1%BA%ADt_B%E1%BA%A3n
62,Học viện Công nghệ Georgia,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_C%C3%B4ng_ngh%E1%BB%87_Georgia
67,Học viện Nghệ thuật Hoàng gia Nga,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ngh%E1%BB%87_thu%E1%BA%ADt_Ho%C3%A0ng_gia
72,Học viện Ngoại giao,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Quan_h%E1%BB%87_Qu%E1%BB%91c_t%E1%BA%BF
73,Học viện Hải quân Hoa Kỳ,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_H%E1%BA%A3i_qu%C3%A2n_Hoa_K%E1%BB%B3
75,Học viện Mỹ thuật Jan Matejko,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_M%E1%BB%B9_thu%E1%BA%ADt_Jan_Matejko
79,Học viện Quân sự Frunze,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Qu%C3%A2n_s%E1%BB%B1_Frunze
80,Học viện Phòng vệ Nhật Bản,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ph%C3%B2ng_v%E1%BB%87_Nh%E1%BA%ADt_B%E1%BA%A3n
81,Học viện Nghệ thuật Hoàng gia Nga,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ngh%E1%BB%87_thu%E1%BA%ADt_Ho%C3%A0ng_gia_Nga
89,Học viện Quân sự Hoa Kỳ,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Qu%C3%A2n_s%E1%BB%B1_Hoa_K%E1%BB%B3
90,Học viện Chính trị Quốc gia Hồ Chí Minh,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ch%C3%ADnh_tr%E1%BB%8B_Qu%E1%BB%91c_gia_H%E1%BB%93_Ch%C3%AD_Minh
104,Học viện âm nhạc Curtis,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_%C3%A2m_nh%E1%BA%A1c_Curtis
108,Đại học Tiểu bang Kansas,University,https://vi.wikipedia.org/wiki/Kansas_State_University
125,Đại học New York,University,https://vi.wikipedia.org/wiki/New_York_University
